-BEGIN HEADER-,,,,,,,,,,,Date,T2M,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,01-08-2017,29.59,,Row Labels,Average of T2M
Dates (month/day/year): 08/01/2017 through 08/01/2023 ,,,,,,,,,,,02-08-2017,28.98,,2017,25.98437908
Location: Latitude  10.2122   Longitude 77.9835 ,,,,,,,,,,,03-08-2017,29.33,,2018,27.32868493
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.52 meters,,,,,,,,,,,04-08-2017,29.26,,2019,28.13706849
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,05-08-2017,28.85,,2020,27.47398907
Parameter(s): ,,,,,,,,,,,06-08-2017,29.56,,2021,26.58805479
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,07-08-2017,28.67,,2022,26.63553425
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,08-08-2017,27.89,,Grand Total,27.13628095
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,09-08-2017,28.06,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,10-08-2017,28.06,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,11-08-2017,27.6,,,
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,12-08-2017,28.6,,,
-END HEADER-,,,,,,,,,,,13-08-2017,26.21,,,
YEAR,MO,DY,RH2M,PRECTOTCORR,QV2M,T2M,TS,T2M_RANGE,,,14-08-2017,25.57,,,
2017,10,8,81,1.4,18.37,27.18,27.62,8.65,,,22-10-2017,27,,,
2017,10,9,82.38,0.26,18.68,27.03,27.19,6.2,,,23-10-2017,27.63,,,
2017,10,10,81.88,1.97,18.43,26.89,26.96,5.75,,,24-10-2017,26.8,,,
2017,10,11,81.44,5,17.33,26.02,25.84,6.13,,,25-10-2017,26.65,,,
2017,10,12,75.81,2.76,16.78,26.92,27.1,10.16,,,26-10-2017,26.68,,,
2017,10,13,80.12,4.11,17.4,26.43,26.4,7.66,,,27-10-2017,25.92,,,
2017,10,14,81.19,2.09,17.27,26.06,25.91,6.84,,,28-10-2017,25.26,,,
2017,10,15,79.25,0.42,16.24,25.53,25.39,8.77,,,29-10-2017,25.76,,,
2017,10,16,77.81,0.08,16.91,26.58,26.73,9.42,,,30-10-2017,24.33,,,
2017,10,17,76.38,2.27,16.48,26.34,26.33,9.05,,,31-10-2017,24.33,,,
2017,10,18,73.31,0.8,16.24,27.12,27.27,10.61,,,01-11-2017,24.98,,,
2017,10,19,73.5,0.14,17.52,28.26,29.04,10.33,,,02-11-2017,24.65,,,
2017,10,20,76.81,0.07,17.82,27.61,27.99,8.29,,,03-11-2017,24.72,,,
2017,10,21,82.56,12.82,18.13,26.63,26.81,7.84,,,04-11-2017,24.43,,,
2017,10,22,79.62,1.44,17.76,27,27.25,8.59,,,05-11-2017,25,,,
2017,10,23,72.12,0.11,16.48,27.63,27.81,9.66,,,06-11-2017,24.19,,,
2017,10,24,76.31,0.32,16.85,26.8,27.01,8.63,,,07-11-2017,24.65,,,
2017,10,25,80.94,0.99,17.76,26.65,27.01,7.09,,,08-11-2017,24.13,,,
2017,10,26,81.31,8.19,17.76,26.68,27.34,7.96,,,09-11-2017,24.64,,,
2017,10,27,83,13.28,17.52,25.92,25.96,5.16,,,10-11-2017,24.26,,,
2017,10,28,86.38,3.98,17.64,25.26,25.23,4.84,,,11-11-2017,24.65,,,
2017,10,29,80.69,0.31,16.72,25.76,25.87,7.33,,,12-11-2017,25.55,,,
2017,10,30,89.31,3.88,17.27,24.33,24.15,3.71,,,13-11-2017,26.4,,,
2017,10,31,89.06,3.8,17.21,24.33,24.45,5.09,,,14-11-2017,25.42,,,
2017,11,1,86.75,6.49,17.33,24.98,25.31,7.09,,,15-11-2017,25.75,,,
2017,11,2,88.81,9.38,17.52,24.65,24.82,6.62,,,16-11-2017,25.86,,,
2017,11,3,88,2.24,17.4,24.72,24.83,6.16,,,17-11-2017,25.01,,,
2017,11,4,89.31,3.9,17.33,24.43,24.71,6.05,,,18-11-2017,25.64,,,
2017,11,5,87.69,6.61,17.58,25,25.13,6.34,,,19-11-2017,25.8,,,
2017,11,6,90.5,6.12,17.4,24.19,24.07,4.15,,,20-11-2017,26.05,,,
2017,11,7,88.19,2.78,17.27,24.65,24.86,6.57,,,21-11-2017,25.15,,,
2017,11,8,89.31,28.14,16.97,24.13,24.2,6.73,,,22-11-2017,25.1,,,
2017,11,9,81.56,0.44,15.81,24.64,24.62,7.98,,,23-11-2017,25.38,,,
2017,11,10,82.69,0.11,15.75,24.26,24.09,8.3,,,24-11-2017,25.4,,,
2017,11,11,82.31,0.05,16.11,24.65,24.38,7.09,,,25-11-2017,24.96,,,
2017,11,12,77.75,0,15.99,25.55,25.52,9.69,,,26-11-2017,23.79,,,
2017,11,13,79.19,2.82,17.15,26.4,26.5,7.86,,,27-11-2017,24.73,,,
2017,11,14,83.19,1.62,17.09,25.42,25.46,5.8,,,28-11-2017,25.03,,,
2017,11,15,83.25,0.32,17.52,25.75,25.41,5.88,,,29-11-2017,24.71,,,
2017,11,16,71.12,0.01,14.53,25.86,25.9,11.73,,,30-11-2017,24.39,,,
2017,11,17,72.56,0.05,14.22,25.01,25.01,11.84,,,01-12-2017,24.37,,,
2017,11,18,79.25,1.23,16.42,25.64,26.04,10.06,,,02-12-2017,24.36,,,
2017,11,19,84.62,1.5,17.7,25.8,26.04,7.33,,,03-12-2017,24.49,,,
