-BEGIN HEADER-,,,,,,,,,,,Date,T2M,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,01-08-2017,29.59,,Row Labels,Average of T2M
Dates (month/day/year): 08/01/2017 through 08/01/2023 ,,,,,,,,,,,02-08-2017,28.98,,2017,25.98437908
Location: Latitude  10.2122   Longitude 77.9835 ,,,,,,,,,,,03-08-2017,29.33,,2018,27.32868493
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.52 meters,,,,,,,,,,,04-08-2017,29.26,,2019,28.13706849
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,05-08-2017,28.85,,2020,27.47398907
Parameter(s): ,,,,,,,,,,,06-08-2017,29.56,,2021,26.58805479
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,07-08-2017,28.67,,2022,26.63553425
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,08-08-2017,27.89,,Grand Total,27.13628095
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,09-08-2017,28.06,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,10-08-2017,28.06,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,11-08-2017,27.6,,,
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,12-08-2017,28.6,,,
-END HEADER-,,,,,,,,,,,13-08-2017,26.21,,,
YEAR,MO,DY,RH2M,PRECTOTCORR,QV2M,T2M,TS,T2M_RANGE,,,14-08-2017,25.57,,,
2018,11,21,81.5,0.36,15.99,24.76,24.77,7.27,,,05-12-2018,25.44,,,
2018,11,22,89.06,3.51,16.97,24.01,23.87,4.41,,,06-12-2018,25.32,,,
2018,11,23,88.62,5.9,17.52,24.76,24.59,4.97,,,07-12-2018,25.2,,,
2018,11,24,87.75,2.79,17.21,24.73,24.78,6.8,,,08-12-2018,25.12,,,
2018,11,25,85.25,0.12,16.17,24.31,24.54,8.95,,,09-12-2018,24.73,,,
2018,11,26,81,0,14.95,23.89,24.19,9.95,,,10-12-2018,24.57,,,
2018,11,27,79.81,0,13.85,22.9,23.29,12.15,,,11-12-2018,23.99,,,
2018,11,28,81.31,0.83,15.14,23.9,24.33,11.2,,,12-12-2018,24.69,,,
2018,11,29,87.88,9.9,17.03,24.51,24.69,7.76,,,13-12-2018,24.93,,,
2018,11,30,85.81,1.65,16.91,24.89,25.33,8.79,,,14-12-2018,24.78,,,
2018,12,1,83.38,0.18,15.81,24.32,24.74,8.66,,,15-12-2018,24.83,,,
2018,12,2,80.06,0,14.77,23.95,24.44,11.11,,,16-12-2018,24.43,,,
2018,12,3,82.25,1.73,15.99,24.8,25.23,11.64,,,17-12-2018,25.51,,,
2018,12,4,86.5,6.11,17.46,25.22,25.65,7.22,,,18-12-2018,25.64,,,
2018,12,5,84.69,0.65,17.21,25.44,26.04,8.27,,,19-12-2018,24.78,,,
2018,12,6,83.88,0.49,16.91,25.32,25.79,7.98,,,20-12-2018,24.25,,,
2018,12,7,82.75,0.07,16.54,25.2,25.83,10.3,,,21-12-2018,25.33,,,
2018,12,8,80.56,0,15.93,25.12,25.66,9.84,,,22-12-2018,23.04,,,
2018,12,9,79.88,0,15.32,24.73,25.2,11.72,,,23-12-2018,25,,,
2018,12,10,76.94,0,14.53,24.57,24.92,11.71,,,24-12-2018,24.34,,,
2018,12,11,76.94,0,13.98,23.99,24.21,10.87,,,25-12-2018,25.25,,,
2018,12,12,75.31,0,14.16,24.69,25.05,12.8,,,26-12-2018,25.22,,,
2018,12,13,75,0,14.4,24.93,25.33,12.08,,,27-12-2018,24.86,,,
2018,12,14,74.88,0,14.16,24.78,25.29,12.38,,,28-12-2018,24.94,,,
2018,12,15,75.56,0,14.47,24.83,25.25,12.36,,,29-12-2018,24.74,,,
2018,12,16,68,0,12.7,24.43,24.23,11.66,,,30-12-2018,24.24,,,
2018,12,17,64.44,0,12.63,25.51,25.79,15.12,,,31-12-2018,23.73,,,
2018,12,18,77.38,0,15.69,25.64,26.44,9.96,,,01-01-2019,22.52,,,
2018,12,19,77.62,0,15.01,24.78,25.67,9.34,,,02-01-2019,21.65,,,
2018,12,20,74.88,0,13.67,24.25,25.13,11.91,,,03-01-2019,22.17,,,
2018,12,21,76.81,0.23,15.08,25.33,26.29,12.6,,,04-01-2019,22.3,,,
2018,12,22,82.75,1.65,14.65,23.04,23.41,5.91,,,05-01-2019,22.77,,,
2018,12,23,85.06,3.27,16.91,25,25.35,7.6,,,06-01-2019,22.76,,,
2018,12,24,86.69,0.72,16.66,24.34,24.51,5.94,,,07-01-2019,23.58,,,
2018,12,25,74.75,0.07,14.53,25.25,26.12,12.04,,,08-01-2019,23.68,,,
2018,12,26,72.5,0.01,13.85,25.22,26.12,12.55,,,09-01-2019,22.85,,,
2018,12,27,72.88,0,13.67,24.86,25.76,13.11,,,10-01-2019,22.89,,,
2018,12,28,74.88,0.02,14.47,24.94,25.78,10.89,,,11-01-2019,23.34,,,
2018,12,29,78.06,0.11,15.01,24.74,25.37,8.46,,,12-01-2019,23.53,,,
2018,12,30,74.12,0.01,13.55,24.24,25.07,11.21,,,13-01-2019,23.97,,,
2018,12,31,73.81,0.01,13.18,23.73,24.58,11.48,,,14-01-2019,24.48,,,
2019,1,1,70.56,0,11.29,22.52,23.46,13.82,,,15-01-2019,24.19,,,
2019,1,2,72.06,0,11.11,21.65,22.47,14.61,,,16-01-2019,24.19,,,
2019,1,3,71,0,11.29,22.17,23.05,15.4,,,17-01-2019,23.38,,,
2019,1,4,71.31,0,11.54,22.3,22.98,14.83,,,18-01-2019,22.98,,,
2019,1,5,71.75,0,11.84,22.77,23.8,15.09,,,19-01-2019,22.97,,,
2019,1,6,72.44,0,12.21,22.76,23.68,14.48,,,20-01-2019,22.9,,,
2019,1,7,70.62,0,12.27,23.58,24.73,14.76,,,21-01-2019,23.01,,,
2019,1,8,68.25,0,11.6,23.68,24.48,14.66,,,22-01-2019,23.58,,,
2019,1,9,68.25,0,11.05,22.85,23.54,16.58,,,23-01-2019,24.71,,,
2019,1,10,68.69,0,11.17,22.89,23.67,16.89,,,24-01-2019,25.51,,,
2019,1,11,69.19,0,11.66,23.34,24.15,15.48,,,25-01-2019,26.58,,,
2019,1,12,65.31,0,10.93,23.53,24.39,15.59,,,26-01-2019,27.27,,,
2019,1,13,71.94,0,12.94,23.97,25.15,15.89,,,27-01-2019,27.18,,,
2019,1,14,70.06,0.33,12.94,24.48,25.42,12.66,,,28-01-2019,27.19,,,
2019,1,15,65.06,1.44,11.35,24.19,25.07,14.41,,,29-01-2019,26.53,,,
2019,1,16,64.12,0,11.23,24.19,25.16,15.09,,,30-01-2019,26.02,,,
2019,1,17,65.31,0,10.86,23.38,24.36,15.55,,,31-01-2019,25.75,,,
2019,1,18,64.5,0,10.44,22.98,23.93,15.71,,,01-02-2019,26.01,,,
2019,1,19,65.19,0,10.5,22.97,24.05,16.18,,,02-02-2019,26.44,,,
2019,1,20,64.75,0,10.38,22.9,23.92,16.67,,,03-02-2019,26.9,,,
2019,1,21,62.81,0,9.89,23.01,24.14,17.45,,,04-02-2019,27.18,,,
2019,1,22,66,0,10.93,23.58,24.89,17.1,,,05-02-2019,27.46,,,
2019,1,23,67.69,0,12.27,24.71,25.95,15.3,,,06-02-2019,27.33,,,
2019,1,24,68,0,13.06,25.51,26.83,15.1,,,07-02-2019,27.45,,,
2019,1,25,68.62,0,14.16,26.58,28.37,13.34,,,08-02-2019,28.61,,,
2019,1,26,68.88,0,14.95,27.27,29.24,12.65,,,09-02-2019,27.84,,,
2019,1,27,66,0.09,14.34,27.18,28.98,12.05,,,10-02-2019,27.61,,,
2019,1,28,62.88,0.11,13.61,27.19,29.16,11.84,,,11-02-2019,27.67,,,
2019,1,29,61.56,0,12.88,26.53,28.08,11.28,,,12-02-2019,27.46,,,
2019,1,30,63.38,0,12.63,26.02,27.48,13.34,,,13-02-2019,27.26,,,
2019,1,31,63.75,0,12.45,25.75,27.29,14.38,,,14-02-2019,28.02,,,
2019,2,1,63.25,0,12.57,26.01,27.79,13.45,,,15-02-2019,28.7,,,
2019,2,2,61.75,0,12.45,26.44,28.34,14,,,16-02-2019,29.61,,,
2019,2,3,59.62,0,12.27,26.9,28.6,14.58,,,17-02-2019,30.09,,,
2019,2,4,63.94,0.04,13.85,27.18,28.84,13.72,,,18-02-2019,30.37,,,
2019,2,5,64.56,0.04,14.34,27.46,28.92,11.25,,,19-02-2019,29.61,,,
2019,2,6,59.94,0.02,12.88,27.33,29.17,14.26,,,20-02-2019,28.74,,,
2019,2,7,60.06,0,12.88,27.45,29.37,15.08,,,21-02-2019,28.15,,,
2019,2,8,61.81,0,14.16,28.61,30.95,15.23,,,22-02-2019,27.23,,,
2019,2,9,70.25,3.08,15.99,27.84,29.46,10.59,,,23-02-2019,27.02,,,
2019,2,10,69.06,2.27,15.38,27.61,29.12,10.89,,,24-02-2019,27.31,,,
2019,2,11,63.06,0.21,13.73,27.67,29.19,13.31,,,25-02-2019,27.8,,,
2019,2,12,61.5,0,13.37,27.46,29.02,12.86,,,26-02-2019,29.53,,,
2019,2,13,59.62,0,12.63,27.26,28.92,14.46,,,27-02-2019,30.74,,,
2019,2,14,63.88,0,14.4,28.02,30.08,14.73,,,28-02-2019,30.75,,,
2019,2,15,61.75,0.09,14.53,28.7,31.04,13.38,,,01-03-2019,30.36,,,
2019,2,16,57.44,0.04,13.98,29.61,32.01,15.11,,,02-03-2019,29.6,,,
2019,2,17,60.06,0.11,15.26,30.09,32.85,13.75,,,03-03-2019,29.9,,,
2019,2,18,58.81,0.09,15.14,30.37,33.02,13.35,,,04-03-2019,29.96,,,
2019,2,19,60.88,0.09,15.08,29.61,31.94,12.97,,,05-03-2019,31.19,,,
2019,2,20,59.62,0.01,13.85,28.74,30.7,13.04,,,06-03-2019,31.74,,,
2019,2,21,58.38,0,12.82,28.15,30.15,15.06,,,07-03-2019,31.84,,,
2019,2,22,53.75,0,10.93,27.23,28.9,16.73,,,08-03-2019,31.33,,,
2019,2,23,54.06,0,11.05,27.02,28.62,17.83,,,09-03-2019,30.73,,,
2019,2,24,56.62,0,11.6,27.31,29.12,17.98,,,10-03-2019,30.58,,,
2019,2,25,53.81,0,10.5,27.8,29.86,19.48,,,11-03-2019,29.74,,,
2019,2,26,52.56,0,12.02,29.53,31.98,17.89,,,12-03-2019,28.76,,,
2019,2,27,53.19,0.01,13.49,30.74,33.51,16.08,,,13-03-2019,28.51,,,
2019,2,28,53.25,0.07,14.04,30.75,33.41,13.69,,,14-03-2019,28.78,,,
2019,3,1,58.5,0.21,15.01,30.36,32.86,14.18,,,15-03-2019,29.11,,,
2019,3,2,56.75,0.08,13.85,29.6,31.88,13.24,,,16-03-2019,28.87,,,
2019,3,3,55.88,0.01,13.67,29.9,32.61,14.56,,,17-03-2019,29.3,,,
2019,3,4,52.81,0,13,29.96,32.66,14.41,,,18-03-2019,30.09,,,
2019,3,5,46.25,0,11.84,31.19,33.99,17.3,,,19-03-2019,30.1,,,
2019,3,6,48.69,0.7,13.06,31.74,34.35,16.67,,,20-03-2019,30.07,,,
2019,3,7,53.69,0.63,14.47,31.84,34.35,15.68,,,21-03-2019,29.73,,,
2019,3,8,55.75,0.01,15.01,31.33,33.76,14.21,,,22-03-2019,30.33,,,
2019,3,9,56.75,2.57,15.01,30.73,33.1,12.17,,,23-03-2019,30.98,,,
2019,3,10,56.88,0.98,14.65,30.58,33.05,13.59,,,24-03-2019,31.18,,,
2019,3,11,51.06,0,12.39,29.74,31.97,14.07,,,25-03-2019,30.9,,,
2019,3,12,51.12,0,11.6,28.76,30.47,15.47,,,26-03-2019,30.22,,,
2019,3,13,49.81,0,10.99,28.51,30.09,16.62,,,27-03-2019,30.08,,,
2019,3,14,46.88,0,10.25,28.78,30.16,17.09,,,28-03-2019,30.42,,,
2019,3,15,45.31,0,10.56,29.11,30.58,15.36,,,29-03-2019,31.14,,,
2019,3,16,55.06,0,12.33,28.87,31.01,16.48,,,30-03-2019,31.38,,,
2019,3,17,56.5,0,13.06,29.3,32.04,16.02,,,31-03-2019,32.19,,,
2019,3,18,56.81,0.05,14.1,30.09,32.96,15.23,,,01-04-2019,32.22,,,
2019,3,19,56.06,0.04,14.16,30.1,32.64,13.03,,,02-04-2019,31.62,,,
2019,3,20,51.75,0.07,12.94,30.07,32.59,14.26,,,03-04-2019,30.86,,,
2019,3,21,52.75,0,12.63,29.73,32.4,15.24,,,04-04-2019,30.91,,,
2019,3,22,53.25,0,13.18,30.33,33.15,15.52,,,05-04-2019,32.12,,,
2019,3,23,53.19,0,13.73,30.98,33.81,15.19,,,06-04-2019,32.2,,,
2019,3,24,45.69,0,11.78,31.18,33.75,15.79,,,07-04-2019,32.02,,,
2019,3,25,43.69,0,11.35,30.9,32.91,15.02,,,08-04-2019,31.98,,,
2019,3,26,47.75,0,11.84,30.22,32.45,15.32,,,09-04-2019,32.44,,,
2019,3,27,45.88,0,11.05,30.08,32.44,17.01,,,10-04-2019,31.95,,,
2019,3,28,45.56,0,11.29,30.42,32.78,16.63,,,11-04-2019,32.06,,,
2019,3,29,38.12,0,9.77,31.14,33.36,16.84,,,12-04-2019,32.33,,,
2019,3,30,40.31,0,10.8,31.38,33.69,14.99,,,13-04-2019,32.01,,,
2019,3,31,41.69,0,11.17,32.19,35.05,16.8,,,14-04-2019,32.07,,,
2019,4,1,48.19,0,13.43,32.22,35.03,15.67,,,15-04-2019,32.41,,,
2019,4,2,50.19,0,13.43,31.62,34.29,15.34,,,16-04-2019,32.27,,,
2019,4,3,52.75,0,13.61,30.86,33.29,15.82,,,17-04-2019,30.28,,,
2019,4,4,52.12,0.1,13.67,30.91,33.64,15.28,,,18-04-2019,30.76,,,
2019,4,5,49.94,0.11,14.04,32.12,35.37,14.68,,,19-04-2019,30.44,,,
2019,4,6,46.56,0,12.88,32.2,35.01,14.75,,,20-04-2019,29.43,,,
2019,4,7,49.25,0,13.18,32.02,34.93,15.99,,,21-04-2019,30.82,,,
2019,4,8,55.69,0,15.5,31.98,35.07,14.41,,,22-04-2019,31.63,,,
2019,4,9,51.56,0.04,14.77,32.44,35.38,14.27,,,23-04-2019,30.64,,,
2019,4,10,54.5,0.02,15.14,31.95,34.74,14.63,,,24-04-2019,30,,,
2019,4,11,49.5,0,13.67,32.06,35.06,14.71,,,25-04-2019,30.62,,,
2019,4,12,49,0,13.73,32.33,35.15,15.56,,,26-04-2019,30.45,,,
2019,4,13,49,0,13.43,32.01,34.77,15.22,,,27-04-2019,31.09,,,
2019,4,14,46.31,0,13,32.07,34.57,14.81,,,28-04-2019,31.92,,,
2019,4,15,46.5,0,12.94,32.41,35.66,15.72,,,29-04-2019,31.58,,,
2019,4,16,51.12,3.36,14.4,32.27,35.23,15.09,,,30-04-2019,31.4,,,
2019,4,17,61.75,6.63,16.48,30.28,31.48,8.49,,,01-05-2019,31.4,,,
2019,4,18,61.19,1.57,16.42,30.76,32.27,10.45,,,02-05-2019,32.78,,,
2019,4,19,63.75,5.79,16.85,30.44,32.14,11.48,,,03-05-2019,32.75,,,
2019,4,20,67.56,10.01,16.97,29.43,30.6,10.41,,,04-05-2019,33.29,,,
2019,4,21,58.81,0.5,15.44,30.82,33.03,14.46,,,05-05-2019,33.61,,,
2019,4,22,55.44,6.3,15.2,31.63,33.89,14.07,,,06-05-2019,33.84,,,
2019,4,23,62.31,3.41,16.72,30.64,32.45,10.74,,,07-05-2019,33.52,,,
2019,4,24,60.88,0.46,15.56,30,31.5,10.61,,,08-05-2019,30.87,,,
2019,4,25,58.88,1.07,15.56,30.62,32.62,12.62,,,09-05-2019,33.19,,,
2019,4,26,62.12,1.17,16.3,30.45,31.73,11.06,,,10-05-2019,33.37,,,
2019,4,27,60.69,0,16.42,31.09,32.8,12.07,,,11-05-2019,34.05,,,
2019,4,28,58.5,0,16.42,31.92,34.19,13.36,,,12-05-2019,34.4,,,
2019,4,29,61.62,5.17,17.4,31.58,32.67,9.97,,,13-05-2019,34.39,,,
2019,4,30,59.81,0.51,16.6,31.4,32.37,12.29,,,14-05-2019,34.62,,,
2019,5,1,55.94,0.14,15.62,31.4,32.55,12.56,,,15-05-2019,34.23,,,
2019,5,2,49.81,0,14.47,32.78,34.62,15.25,,,16-05-2019,33.33,,,
2019,5,3,47.56,0,13.73,32.75,34.33,14.07,,,17-05-2019,33.89,,,
2019,5,4,47.75,0,14.47,33.29,35.69,14.41,,,18-05-2019,33.94,,,
2019,5,5,46.38,0,14.47,33.61,35.96,14.07,,,19-05-2019,33.73,,,
2019,5,6,47.81,0.28,14.95,33.84,36.72,13.87,,,20-05-2019,33.3,,,
2019,5,7,50,1.08,15.44,33.52,35.97,13.55,,,21-05-2019,33.62,,,
2019,5,8,52.06,0.51,14.16,30.87,32.51,10.73,,,22-05-2019,32.97,,,
2019,5,9,47.62,1.38,14.53,33.19,35.62,14.53,,,23-05-2019,32.2,,,
2019,5,10,51.19,1.28,15.93,33.37,35.63,13.1,,,24-05-2019,32.3,,,
2019,5,11,48.31,0.01,15.38,34.05,36.89,13.66,,,25-05-2019,32.17,,,
2019,5,12,46.94,0.03,15.38,34.4,37.18,12.97,,,26-05-2019,33.45,,,
2019,5,13,44.94,0.01,14.95,34.39,37.05,11.39,,,27-05-2019,34.3,,,
2019,5,14,43.38,0.02,14.59,34.62,37.19,12.44,,,28-05-2019,34.47,,,
2019,5,15,45.5,2.79,15.08,34.23,36.58,11.55,,,29-05-2019,32.79,,,
2019,5,16,51.62,0.47,16.17,33.33,35.58,10.59,,,30-05-2019,31.73,,,
2019,5,17,48.25,1.15,15.56,33.89,36.34,11.84,,,31-05-2019,28.43,,,
2019,5,18,48.38,0.21,15.5,33.94,36.49,12.77,,,01-06-2019,30.63,,,
2019,5,19,48.5,0,15.2,33.73,36.47,13.61,,,02-06-2019,31.58,,,
2019,5,20,48.94,0,14.53,33.3,36.22,14.09,,,03-06-2019,29.11,,,
2019,5,21,48.06,0.01,14.65,33.62,36.42,14.98,,,04-06-2019,29.91,,,
2019,5,22,51.44,0.02,15.99,32.97,35.14,9.88,,,05-06-2019,29.18,,,
2019,5,23,55.62,0.16,16.72,32.2,33.83,8.23,,,06-06-2019,29.82,,,
2019,5,24,53.88,0.54,16.17,32.3,34.19,8.55,,,07-06-2019,29.62,,,
2019,5,25,54.25,0.54,16.17,32.17,33.58,8.55,,,08-06-2019,29.67,,,
2019,5,26,48.62,0.31,15.08,33.45,35.8,12.91,,,09-06-2019,29.08,,,
2019,5,27,48.62,0.2,15.99,34.3,36.76,13.04,,,10-06-2019,28.77,,,
2019,5,28,47.94,1.43,16.11,34.47,36.51,11.53,,,11-06-2019,29.46,,,
2019,5,29,54.69,2.01,17.15,32.79,33.81,6.74,,,12-06-2019,29.51,,,
2019,5,30,59.69,2.67,17.52,31.73,32.74,7.88,,,13-06-2019,29.51,,,
2019,5,31,68.31,8.32,16.66,28.43,28.66,6.89,,,14-06-2019,29.49,,,
2019,6,1,62.75,0.43,16.66,30.63,32.33,14.12,,,15-06-2019,30.65,,,
2019,6,2,59.88,0.2,17.03,31.58,33.03,11.23,,,16-06-2019,31.3,,,
2019,6,3,69.75,0.56,17.64,29.11,30.3,7.04,,,17-06-2019,31.45,,,
2019,6,4,65.75,3.33,17.21,29.91,30.78,9.09,,,18-06-2019,31.72,,,
2019,6,5,72.25,16.96,18.43,29.18,29.61,7.33,,,19-06-2019,30.67,,,
2019,6,6,70.19,0.5,18.19,29.82,31.09,10.11,,,20-06-2019,30.67,,,
2019,6,7,70.44,8.99,18.19,29.62,29.99,8.54,,,21-06-2019,29.03,,,
2019,6,8,67.44,2.2,17.27,29.67,30.62,10.43,,,22-06-2019,29.84,,,
2019,6,9,69.06,1.74,17.15,29.08,30.02,9.27,,,23-06-2019,29.28,,,
2019,6,10,71,1.86,17.27,28.77,29.47,9.45,,,24-06-2019,30.74,,,
2019,6,11,66.44,0.93,16.54,29.46,30.4,12,,,25-06-2019,30.14,,,
2019,6,12,66,0.3,16.66,29.51,29.99,10.16,,,26-06-2019,30.72,,,
2019,6,13,64.56,0.48,16.3,29.51,30.04,10.37,,,27-06-2019,31.01,,,
2019,6,14,57.25,0.49,13.85,29.49,30.61,13.64,,,28-06-2019,31.39,,,
2019,6,15,53.25,0.09,13.85,30.65,32.13,15.57,,,29-06-2019,31.23,,,
2019,6,16,57.5,0.15,15.81,31.3,32.72,13.62,,,30-06-2019,30.49,,,
2019,6,17,55.62,0.02,15.38,31.45,32.68,12.72,,,01-07-2019,31.79,,,
2019,6,18,53.12,0.06,14.71,31.72,33.45,13.61,,,02-07-2019,30.85,,,
2019,6,19,56.44,0.38,15.14,30.67,31.82,11.7,,,03-07-2019,30.74,,,
2019,6,20,52.44,0.33,14.04,30.67,32.18,13.51,,,04-07-2019,31.05,,,
2019,6,21,62.19,0.59,15.62,29.03,29.86,8,,,05-07-2019,30.54,,,
2019,6,22,61.81,1.16,16.05,29.84,30.74,9.75,,,06-07-2019,30.15,,,
2019,6,23,63,0.86,15.75,29.28,30.05,9.81,,,07-07-2019,30.28,,,
2019,6,24,57,0.68,14.83,30.74,32.34,15.62,,,08-07-2019,31.07,,,
2019,6,25,62.19,1.37,16.36,30.14,31.29,10.5,,,09-07-2019,29.84,,,
2019,6,26,58.38,0.01,15.69,30.72,32.15,11.28,,,10-07-2019,30.08,,,
2019,6,27,55,0,14.89,31.01,32.38,12.81,,,11-07-2019,31.27,,,
2019,6,28,51.69,0,14.1,31.39,33.18,14.77,,,12-07-2019,31.78,,,
2019,6,29,50.94,0,13.98,31.23,32.75,13.27,,,13-07-2019,31.85,,,
2019,6,30,53.06,0,14.28,30.49,31.68,9.96,,,14-07-2019,31.31,,,
2019,7,1,51.5,0,14.34,31.79,33.82,15.12,,,15-07-2019,30.08,,,
2019,7,2,56.19,0.2,15.38,30.85,32.17,11.3,,,16-07-2019,29.4,,,
2019,7,3,57.12,0.17,15.38,30.74,32.18,12.02,,,17-07-2019,29.48,,,
2019,7,4,57.94,0.72,15.81,31.05,32.82,12.71,,,18-07-2019,27.85,,,
2019,7,5,58.06,0.19,15.5,30.54,31.98,11.15,,,19-07-2019,27.31,,,
2019,7,6,59.38,0.23,15.56,30.15,31.48,11.27,,,20-07-2019,28.72,,,
2019,7,7,57.75,0.23,15.08,30.28,31.62,11.91,,,21-07-2019,29.11,,,
2019,7,8,56.88,0.25,15.26,31.07,32.89,13.69,,,22-07-2019,27.96,,,
2019,7,9,57.94,0.8,14.95,29.84,31.3,9.96,,,23-07-2019,29,,,
2019,7,10,50.81,0.67,13,30.08,31.58,12.84,,,24-07-2019,29.33,,,
2019,7,11,44.75,0.35,12.21,31.27,32.9,12.06,,,25-07-2019,28.77,,,
2019,7,12,44.81,0.05,12.7,31.78,33.81,12.2,,,26-07-2019,28.01,,,
2019,7,13,46.88,0.23,13.61,31.85,33.76,10.4,,,27-07-2019,29.8,,,
2019,7,14,50.75,0.75,14.28,31.31,33.23,9.74,,,28-07-2019,29.44,,,
2019,7,15,58.31,6.13,15.32,30.08,31.69,10.5,,,29-07-2019,28.51,,,
2019,7,16,61.12,2.34,15.32,29.4,30.9,12.73,,,30-07-2019,30.1,,,
2019,7,17,59.56,0.6,15.14,29.48,31.05,10.87,,,31-07-2019,29.8,,,
2019,7,18,67.75,10.28,15.99,27.85,28.33,6.92,,,01-08-2019,30.72,,,
2019,7,19,73.25,2.89,16.72,27.31,27.54,7.04,,,02-08-2019,29.87,,,
2019,7,20,64.12,0.85,15.56,28.72,29.51,10.51,,,03-08-2019,30.08,,,
2019,7,21,60.62,1.05,15.01,29.11,29.94,11.34,,,04-08-2019,30.07,,,
2019,7,22,65.5,0.7,15.5,27.96,28.48,7.66,,,05-08-2019,28.82,,,
2019,7,23,55.5,0.22,13.61,29,29.9,12.73,,,06-08-2019,28.47,,,
2019,7,24,61.38,4.26,15.32,29.33,30.68,12.27,,,07-08-2019,28.47,,,
2019,7,25,61.94,3.91,14.83,28.77,29.58,10.58,,,08-08-2019,27.92,,,
2019,7,26,63.31,1.71,14.65,28.01,28.55,12.13,,,09-08-2019,27.7,,,
2019,7,27,58.5,0,14.65,29.8,31.24,13.77,,,10-08-2019,27.22,,,
2019,7,28,56.44,0.03,13.92,29.44,30.59,12.37,,,11-08-2019,27.78,,,
2019,7,29,60.88,0.01,14.4,28.51,29.37,11.47,,,12-08-2019,29.4,,,
2019,7,30,54.12,0,13.55,30.1,31.78,14.57,,,13-08-2019,28.12,,,
2019,7,31,54.62,0,13.92,29.8,30.88,11.74,,,14-08-2019,29.32,,,
2019,8,1,52.19,0.05,13.67,30.72,32.37,14.18,,,15-08-2019,29.08,,,
2019,8,2,56,0.1,14.28,29.87,31.08,11.3,,,16-08-2019,28.54,,,
2019,8,3,53.31,0.05,13.24,30.08,31.08,13,,,17-08-2019,26.64,,,
2019,8,4,58.25,0.49,14.83,30.07,31.93,13.77,,,18-08-2019,26.85,,,
2019,8,5,56.19,1.48,13.79,28.82,29.59,8.41,,,19-08-2019,28.2,,,
2019,8,6,60.5,2.3,14.34,28.47,29.59,12.25,,,20-08-2019,28.62,,,
2019,8,7,64.44,4.25,15.38,28.47,29.26,10.38,,,21-08-2019,27.46,,,
2019,8,8,67.94,10.56,15.99,27.92,28.08,7.99,,,22-08-2019,27.52,,,
2019,8,9,68.25,8.05,15.75,27.7,28.04,9.43,,,23-08-2019,27.23,,,
2019,8,10,66.12,1.43,14.83,27.22,27.44,8.12,,,24-08-2019,27.34,,,
2019,8,11,62.19,0.57,14.1,27.78,28.6,11.53,,,25-08-2019,27.15,,,
2019,8,12,57.88,0.24,14.53,29.4,30.65,12.34,,,26-08-2019,26.37,,,
2019,8,13,64.44,4.04,15.38,28.12,28.96,8.18,,,27-08-2019,28.11,,,
2019,8,14,64.69,3.23,15.93,29.32,30.57,12.62,,,28-08-2019,27.72,,,
2019,8,15,63,0.21,15.5,29.08,30.08,10.82,,,29-08-2019,26.82,,,
2019,8,16,60.5,6.48,14.4,28.54,29.15,10.3,,,30-08-2019,27.83,,,
2019,8,17,73.75,8.47,16.17,26.64,26.87,7.46,,,31-08-2019,26.51,,,
2019,8,18,75,18.75,16.6,26.85,27.15,8.26,,,01-09-2019,28.36,,,
2019,8,19,72.62,13.93,17.15,28.2,29.07,10.72,,,02-09-2019,27.25,,,
2019,8,20,71.62,5.44,17.27,28.62,29.8,10.98,,,03-09-2019,27.89,,,
2019,8,21,75.94,2.52,17.33,27.46,28.14,9.03,,,04-09-2019,28.51,,,
2019,8,22,69.81,3.34,15.75,27.52,28.38,10.73,,,05-09-2019,28.23,,,
2019,8,23,64.19,0.33,14.16,27.23,27.85,10.45,,,06-09-2019,28.62,,,
2019,8,24,63.38,0.69,14.16,27.34,27.87,10.55,,,07-09-2019,28.69,,,
2019,8,25,67.25,1.61,14.77,27.15,27.82,11.12,,,08-09-2019,28.4,,,
2019,8,26,75.62,0.94,16.24,26.37,26.79,8.68,,,09-09-2019,29.1,,,
2019,8,27,65.38,0.56,14.95,28.11,29.32,13.18,,,10-09-2019,29.26,,,
2019,8,28,66.5,0.3,15.08,27.72,28.62,11.32,,,11-09-2019,28.31,,,
2019,8,29,71.75,6.09,15.75,26.82,27.33,8.22,,,12-09-2019,27.99,,,
2019,8,30,62.38,0.35,14.04,27.83,28.64,13.52,,,13-09-2019,27.8,,,
2019,8,31,68.06,0.45,14.65,26.51,26.77,7.88,,,14-09-2019,27.83,,,
2019,9,1,69.19,0.61,16.24,28.36,29.48,12.99,,,15-09-2019,28.13,,,
2019,9,2,75.06,1.54,16.97,27.25,27.67,8.01,,,16-09-2019,27.97,,,
